name,pattern,score
"RELIGION","(?i)RELIGION.*",0.9
"RETINA_SCANNING","(?i).*RETINA.*",1.0
"RISK_SCORE","(?i)SCORE",0.8
"ROUTING_NUMBER","(?i)ROUTING[_]?NUM(BER)?|(?i)ROUTING[_]?NB",0.9
"SERIAL_NUMBER","(?i).*SERIAL[_]NUMBER.*",1.0
"SIGNATURES","(?i)SIGNATURE.*",1.0
"SIP_ADDRESS","(?i).*SIP[_]?ADDR.*",1.0
"SOCIAL_MEDIA","(?i).*SOCIAL.*",0.8
"SOCIAL_SECURITY_NUMBER","(?i)(SSN|SOCIAL[_ ]?SECURITY[_ ]?N.*)",0.95
"STATE_ID","(?i).*STATE[_]?(ID|NUM.*)",0.8
"STATE","(?i)STATE.*",0.9
"STATEMENT","(?i)(STATEMENT.*|INVOICE[_]?IMAGE)",0.8
"STREET",".*(?i)STREET.*",1.0
"TAX_ID","(?i).*TAX[_]?ID.*|(?i).*TAX[_]?N.*|(?i).*TAXPAYER[_]?ID.*|(?i).*TAXPAYER[_]?N.*",1.0
"TAX_ID","(?i).*TAX.?ID.*",0.9
"TELEPHONE_NUMBER","(?i)AFF.*NUM",0.9
"TELEPHONE_NUMBER","(?i)MSISDN|.*(?i)PHONE.*|(?i)PHONE[_]?NUM[BER]?|(?i)PHONE[_]?NB|(?i).*WIRELESS_N.*|(?i).*WIRELINE_N.*|(?i).*MOBILE.*|(?i).*CELL_P.*|(?i).*FAX.*",0.9
"TELEPHONE_NUMBER","(?i)PH|(?i)PH[_]?NUM[BER]?|(?i)PH[_]?NB|(?i)TN",0.6
"TELEPHONE_NUMBER","(?i)TEL_?NUM",0.85
"TSN","(?i).*TSN.*",1.0
"USERNAME","(?i)USER|(?i)SUBMITTER|(?i)username",1.0
"VIDEO","(?i).*VIDEO.*",1.0
